deposit_date,amount_eur
2026-05-17,6103.40
2026-05-18,4304.40
2026-05-19,4641.90
2026-05-20,4574.50
2026-05-21,4852.50
2026-05-22,4111.30
2026-05-23,5705.60
2026-05-24,5375.30
2026-05-25,4636.10
2026-05-26,4759.20
2026-05-27,4240.90
2026-05-28,4510.80
2026-05-29,4383.30
2026-05-30,5481.40
2026-05-31,5783.00
2026-06-01,5330.00
2026-06-02,4886.70
2026-06-03,5285.10
2026-06-04,5324.00
2026-06-05,5438.80
2026-06-06,6582.70
2026-06-07,6916.60
2026-06-08,5812.10
2026-06-09,5194.30
2026-06-10,5334.60
2026-06-11,5557.00
2026-06-12,8415.00
2026-06-13,15405.40
2026-06-14,25588.00
2026-06-15,5547.80
2026-06-16,5658.20
2026-06-17,6030.60
