payment_id,customer_id,cafe_id,payment_method,event,paid_at,_etl_loaded_at
100022,2947,cafe_03,credit_card,"{""customer"": 2947, ""amount"": 3.20}",2026-05-17 07:01:00,2026-05-18 03:30:00
100210,485,cafe_12,bank_transfer,"{""customer"": 485, ""amount"": 3.00}",2026-05-17 07:01:00,2026-05-18 03:30:00
100213,1647,cafe_09,credit_card,"{""customer"": 1647, ""amount"": 6.50}",2026-05-17 07:01:00,2026-05-18 03:30:00
100397,467,cafe_07,coupon,"{""customer"": 467, ""amount"": 10.50}",2026-05-17 07:02:00,2026-05-18 03:30:00
100451,2308,cafe_04,bank_transfer,"{""customer"": 2308, ""amount"": 12.00}",2026-05-17 07:03:00,2026-05-18 03:30:00
100128,1970,cafe_02,gift_card,"{""customer"": 1970, ""amount"": 17.10}",2026-05-17 07:04:00,2026-05-18 03:30:00
100506,736,cafe_12,credit_card,"{""customer"": 736, ""amount"": 2.80}",2026-05-17 07:05:00,2026-05-18 03:30:00
100519,570,cafe_02,credit_card,"{""customer"": 570, ""amount"": 7.50}",2026-05-17 07:06:00,2026-05-18 03:30:00
100424,872,cafe_01,gift_card,"{""customer"": 872, ""amount"": 16.50}",2026-05-17 07:08:00,2026-05-18 03:30:00
100095,354,cafe_12,coupon,"{""customer"": 354, ""amount"": 9.70}",2026-05-17 07:11:00,2026-05-18 03:30:00
100411,444,cafe_06,gift_card,"{""customer"": 444, ""amount"": 3.50}",2026-05-17 07:13:00,2026-05-18 03:30:00
100476,3270,cafe_04,gift_card,"{""customer"": 3270, ""amount"": 6.00}",2026-05-17 07:15:00,2026-05-18 03:30:00
100529,2932,cafe_06,credit_card,"{""customer"": 2932, ""amount"": 12.70}",2026-05-17 07:15:00,2026-05-18 03:30:00
100234,2349,cafe_07,coupon,"{""customer"": 2349, ""amount"": 16.50}",2026-05-17 07:16:00,2026-05-18 03:30:00
100287,1622,cafe_04,credit_card,"{""customer"": 1622, ""amount"": 11.90}",2026-05-17 07:17:00,2026-05-18 03:30:00
100512,2846,cafe_08,coupon,"{""customer"": 2846, ""amount"": 8.90}",2026-05-17 07:18:00,2026-05-18 03:30:00
100161,745,cafe_05,credit_card,"{""customer"": 745, ""amount"": 8.90}",2026-05-17 07:19:00,2026-05-18 03:30:00
100558,2518,cafe_02,bank_transfer,"{""customer"": 2518, ""amount"": 6.20}",2026-05-17 07:20:00,2026-05-18 03:30:00
100525,3413,cafe_04,bank_transfer,"{""customer"": 3413, ""amount"": 7.30}",2026-05-17 07:21:00,2026-05-18 03:30:00
100181,655,cafe_01,credit_card,"{""customer"": 655, ""amount"": 8.50}",2026-05-17 07:22:00,2026-05-18 03:30:00
100377,2779,cafe_01,credit_card,"{""customer"": 2779, ""amount"": 8.90}",2026-05-17 07:23:00,2026-05-18 03:30:00
100621,3528,cafe_12,credit_card,"{""customer"": 3528, ""amount"": 3.00}",2026-05-17 07:30:00,2026-05-18 03:30:00
100159,713,cafe_04,credit_card,"{""customer"": 713, ""amount"": 3.00}",2026-05-17 07:31:00,2026-05-18 03:30:00
